timestamp,et,bt,heater,fan,watchdog_flag,failure_count,failure_reason,guard_timeouts,regression_flag,pv,mv,integrator_value,derivative_value,saturation_flag,integrator_clamp_flag,derivative_available_flag,command_latency_us,max_command_latency_us
2026-03-08T15:32:42.748056,25.00,22.16,50.00,30.00,0,0,None,0,0,22.16,50.00,0.0,0.0,0,0,1,18487,147176
2026-03-08T15:32:43.748056,25.82,22.60,50.10,30.00,0,0,None,0,0,22.60,50.10,0.0,0.0,0,0,1,19148,136277
2026-03-08T15:32:44.748056,26.48,23.05,50.20,30.00,0,0,None,0,0,23.05,50.20,0.0,0.0,0,0,1,20102,106696
2026-03-08T15:32:45.748056,26.04,23.38,50.30,30.00,0,0,None,0,0,23.38,50.30,0.0,0.0,0,0,1,11057,79901
2026-03-08T15:32:46.748056,26.97,23.82,50.40,30.00,0,0,None,0,0,23.82,50.40,0.0,0.0,0,0,1,21800,132202
2026-03-08T15:32:47.748056,27.52,24.21,50.50,30.00,0,0,None,0,0,24.21,50.50,0.0,0.0,0,0,1,18631,117279
2026-03-08T15:32:48.748056,27.65,24.29,50.60,30.00,0,0,None,0,0,24.29,50.60,0.0,0.0,0,0,1,28270,104868
2026-03-08T15:32:49.748056,28.20,24.55,50.70,30.00,0,0,None,0,0,24.55,50.70,0.0,0.0,0,0,1,18773,51904
2026-03-08T15:32:50.748056,28.71,25.07,50.80,30.00,0,0,None,0,0,25.07,50.80,0.0,0.0,0,0,1,36457,121382
2026-03-08T15:32:51.748056,29.01,25.38,50.90,30.00,0,0,None,0,0,25.38,50.90,0.0,0.0,0,0,1,12356,85922
2026-03-08T15:32:52.748056,29.83,25.78,51.00,30.00,0,0,None,0,0,25.78,51.00,0.0,0.0,0,0,1,18185,56988
2026-03-08T15:32:53.748056,30.88,26.28,51.10,30.00,0,0,None,0,0,26.28,51.10,0.0,0.0,0,0,1,34558,66951
2026-03-08T15:32:54.748056,31.06,26.79,51.20,30.00,0,0,None,0,0,26.79,51.20,0.0,0.0,0,0,1,37004,139649
2026-03-08T15:32:55.748056,31.74,27.50,51.30,30.00,0,0,None,0,0,27.50,51.30,0.0,0.0,0,0,1,24247,76626
2026-03-08T15:32:56.748056,32.37,27.85,51.40,30.00,0,0,None,0,0,27.85,51.40,0.0,0.0,0,0,1,24454,134460
2026-03-08T15:32:57.748056,32.56,27.71,51.50,30.00,0,0,None,0,0,27.71,51.50,0.0,0.0,0,0,1,10300,147961
2026-03-08T15:32:58.748056,33.40,28.66,51.60,30.00,0,0,None,0,0,28.66,51.60,0.0,0.0,0,0,1,35307,69702
2026-03-08T15:32:59.748056,33.98,28.55,51.70,30.00,0,0,None,0,0,28.55,51.70,0.0,0.0,0,0,1,38369,96156
2026-03-08T15:33:00.748056,33.53,29.11,51.80,30.00,0,0,None,0,0,29.11,51.80,0.0,0.0,0,0,1,29480,64766
2026-03-08T15:33:01.748056,34.29,29.45,51.90,30.00,0,0,None,0,0,29.45,51.90,0.0,0.0,0,0,1,21532,146917
2026-03-08T15:33:02.748056,34.78,30.10,52.00,30.00,0,0,None,0,0,30.10,52.00,0.0,0.0,0,0,1,38944,56030
2026-03-08T15:33:03.748056,35.84,30.67,52.10,30.00,0,0,None,0,0,30.67,52.10,0.0,0.0,0,0,1,37438,133656
2026-03-08T15:33:04.748056,36.23,30.54,52.20,30.00,0,0,None,0,0,30.54,52.20,0.0,0.0,0,0,1,34590,141062
2026-03-08T15:33:05.748056,36.06,30.92,52.30,30.00,0,0,None,0,0,30.92,52.30,0.0,0.0,0,0,1,39559,148972
